gender,year_study,current_stay,preference,pref_reasons,pref_afford,pref_proximity,pref_social,pref_amenities,pref_security,change_accommodation,satisfaction,prefer_closer,distance_affects_attendance,commute_mode,commute_walk,commute_bike,commute_bus,commute_taxi,proximity_focus,funding_source,changed_before,less_pref_due_cost,amenities_list,amenity_water,amenity_electricity,amenity_internet,amenity_laundry,amenity_aircon,amenity_cleanbath,issues_basic_services,water_supply,electricity_supply,internet_access,room_cleanliness,bathroom_facility,hostel_management,study_space_conducive,env_collaboration,social_influence,rating,security_personnel,security_cctv,security_fencing,security_checkin,security_none,experienced_theft,security_confidence,focus_feeling,mental_health,consistent_study_routine,study_elsewhere,study_hours
Male,4,Off-Campus,Off-campus hostel,Affordability Proximity to lecture halls Access to social life,1,1,1,0,0,No,4,No,Not at all,Walking,1,0,0,0,4,Parents/Guardians,No,No,Water  Electricity Laundry Services Air conditioning/Fans Clean bathroom Facilities,1,1,0,1,1,1,Occasionally,4,4,1,4,4,4,Yes,4,No,5,0,1,1,0,0,Yes,Fair,3,3,Sometimes,No,4
Male,2,Off-Campus,Off-campus hostel,Access to social life,0,0,1,0,0,Maybe,3,Yes,Very much,Walking,1,0,0,0,2,Parents/Guardians,Yes,Yes,Electricity Internet,0,1,1,0,0,0,Occasionally,2,3,2,2,2,3,Yes,1,Yes,2,1,1,0,0,0,Yes,Good,3,2,No,Yes,3
Male,3,Off-Campus,Off-campus hostel,"Access to social life Availability of amenities (Wi-Fi, water, etc.)",0,0,1,1,0,No,4,Yes,Very much,Walking,1,0,0,0,4,Parents/Guardians,Yes,Yes,Water  Internet,1,0,1,0,0,0,Rarely,3,4,4,3,3,3,Yes,3,No,3,0,0,0,0,1,No,Good,3,3,Sometimes,No,2
Male,4,Off-Campus,Off-campus hostel,Proximity to lecture halls,0,1,0,0,0,No,4,Yes,Sometimes,Walking,1,0,0,0,2,Parents/Guardians,Yes,No,Water  Electricity Internet Clean bathroom Facilities,1,1,1,0,0,1,Occasionally,3,3,3,3,3,3,Yes,2,No,3,1,1,0,0,0,Yes,Good,2,2,Yes,No,6
Male,3,Off-Campus,Off-campus hostel,Affordability,1,0,0,0,0,No,2,Maybe,Not at all,Walking,1,0,0,0,3,Parents/Guardians,No,No,Water  Electricity Internet Clean bathroom Facilities,1,1,1,0,0,1,Occasionally,3,1,2,1,5,3,Yes,2,No,2,1,1,0,0,0,No,Fair,2,3,Yes,No,10
Female,3,Off-Campus,Off-campus hostel,Affordability Proximity to lecture halls,1,1,0,0,0,Maybe,3,Maybe,Sometimes,Walking,1,0,0,0,3,Parents/Guardians,Yes,No,Water  Electricity Clean bathroom Facilities,1,1,0,0,0,1,Occasionally,3,4,3,4,3,3,Yes,3,No,2,0,1,0,0,0,No,Fair,2,2,No,Yes,1
Male,5,Off-Campus,Off-campus hostel,Affordability Proximity to lecture halls Access to social life Security,1,1,1,0,1,Maybe,3,Yes,Sometimes,Walking,1,0,0,0,3,Parents/Guardians,No,No,Water  Electricity Internet Air conditioning/Fans Clean bathroom Facilities,1,1,1,0,1,1,Frequently ,3,4,3,2,2,2,Yes,3,No,3,0,1,0,0,0,No,Good,3,1,Yes,No,4
Female,2,Off-Campus,Off-campus hostel,Affordability Proximity to lecture halls,1,1,0,0,0,No,5,Yes,Not at all,Walking,1,0,0,0,4,Parents/Guardians,No,No,Water  Electricity Clean bathroom Facilities,1,1,0,0,0,1,Rarely,5,5,4,5,5,5,Yes,5,No,5,0,1,0,0,0,No,Very good,4,4,Yes,No,4
Male,3,Off-Campus,Off-campus hostel,Affordability,1,0,0,0,0,Yes,4,Yes,Sometimes,Walking,1,0,0,0,1,Parents/Guardians,Yes,Yes,Water  Electricity Internet Clean bathroom Facilities,1,1,1,0,0,1,Occasionally,3,5,4,4,4,4,Yes,5,No,5,0,0,1,0,0,No,Very good,5,3,Sometimes,Yes,2
Male,4,Off-Campus,Off-campus hostel,Affordability,1,0,0,0,0,Yes,4,No,Very much,Walking,1,0,0,0,5,Parents/Guardians,Yes,Yes,Water  Electricity Clean bathroom Facilities,1,1,0,0,0,1,Occasionally,3,4,3,4,4,3,Yes,4,No,4,0,1,1,0,0,Yes,Good,4,3,Sometimes,No,2
